,geo_id,% of Population Identifying as Black,Census tract,geometry
0,1400000US42003010301,56.2,010301,"MULTIPOLYGON (((-79.995914 40.43389, -79.995721 40.434103, -79.994623 40.435796, -79.99177 40.43495, -79.99003999999999 40.434851, -79.988473 40.434861, -79.986771 40.434982, -79.982739 40.435556, -79.976005 40.436368, -79.97366 40.436575, -79.972874 40.436527, -79.972916 40.436322, -79.973502 40.433877, -79.975827 40.434315, -79.97915 40.433811, -79.981459 40.433546, -79.98292600000001 40.433365, -79.98811000000001 40.432601, -79.989141 40.432598, -79.993405 40.432613, -79.99673799999999 40.432801, -79.995914 40.43389)))"
1,1400000US42003010302,12.2,010302,"MULTIPOLYGON (((-79.99387299999999 40.438509, -79.993711 40.438921, -79.992467 40.43887, -79.988266 40.438686, -79.986462 40.438607, -79.985057 40.438542, -79.98077499999999 40.43836, -79.977665 40.438234, -79.97754500000001 40.438229, -79.975887 40.438147, -79.974428 40.438026, -79.972825 40.437753, -79.97264300000001 40.437695, -79.97275500000001 40.437122, -79.972874 40.436527, -79.97366 40.436575, -79.976005 40.436368, -79.982739 40.435556, -79.986771 40.434982, -79.988473 40.434861, -79.99003999999999 40.434851, -79.99177 40.43495, -79.994623 40.435796, -79.99387299999999 40.438509)))"
2,1400000US42003020100,11,020100,"MULTIPOLYGON (((-80.015379 40.443083, -80.00932299999999 40.444303, -80.00825399999999 40.444571, -80.003344 40.445648, -80.001437 40.446192, -79.99975999999999 40.446679, -79.997924 40.447273, -79.996133 40.448182, -79.99527 40.446885, -79.994767 40.446086, -79.994248 40.445439, -79.99393999999999 40.445253, -79.991713 40.445033, -79.990009 40.445941, -79.99004499999999 40.445433, -79.990365 40.444593, -79.992141 40.44202, -79.99227500000001 40.441727, -79.99298 40.44036, -79.993711 40.438921, -79.99387299999999 40.438509, -79.994623 40.435796, -79.995721 40.434103, -79.995914 40.43389, -79.99673799999999 40.432801, -79.998071 40.433063, -80.001985 40.435067, -80.0102 40.438628, -80.014217 40.4407, -80.01629 40.443207, -80.015379 40.443083)))"
3,1400000US42003020300,1.8,020300,"MULTIPOLYGON (((-79.996133 40.448182, -79.992395 40.450413, -79.990791 40.451588, -79.985568 40.455413, -79.980621 40.45904, -79.979634 40.460081, -79.976016 40.463091, -79.97390799999999 40.46587, -79.968074 40.461012, -79.97353200000001 40.457274, -79.974947 40.456294, -79.973101 40.455778, -79.97357 40.454557, -79.974182 40.453376, -79.97366700000001 40.452843, -79.973946 40.452705, -79.97685 40.450965, -79.977676 40.45021, -79.979146 40.450402, -79.980942 40.449915, -79.98389899999999 40.44852, -79.987036 40.446593, -79.990365 40.444593, -79.99004499999999 40.445433, -79.990009 40.445941, -79.991713 40.445033, -79.99393999999999 40.445253, -79.994248 40.445439, -79.994767 40.446086, -79.99527 40.446885, -79.996133 40.448182)))"
4,1400000US42003030500,60.1,030500,"MULTIPOLYGON (((-79.99298 40.44036, -79.99227500000001 40.441727, -79.992141 40.44202, -79.990365 40.444593, -79.987036 40.446593, -79.98389899999999 40.44852, -79.98365200000001 40.447642, -79.982429 40.446493, -79.981841 40.445685, -79.98079 40.444235, -79.98034199999999 40.443632, -79.97967199999999 40.442698, -79.97899700000001 40.4416, -79.97895800000001 40.441232, -79.978655 40.440843, -79.978351 40.440666, -79.978669 40.440312, -79.977878 40.439348, -79.977636 40.439383, -79.975373 40.439202, -79.97754500000001 40.438229, -79.977665 40.438234, -79.98077499999999 40.43836, -79.985057 40.438542, -79.986462 40.438607, -79.988266 40.438686, -79.992467 40.43887, -79.993711 40.438921, -79.99298 40.44036)))"
5,1400000US42003040200,32.7,040200,"MULTIPOLYGON (((-79.97754500000001 40.438229, -79.975373 40.439202, -79.973406 40.439984, -79.97302000000001 40.43978, -79.973209 40.44012, -79.972433 40.44037, -79.97190399999999 40.439752, -79.96871299999999 40.438771, -79.96862299999999 40.438907, -79.967618 40.440023, -79.967946 40.441147, -79.968174 40.441517, -79.968333 40.441826, -79.96801600000001 40.442903, -79.967004 40.443136, -79.96606300000001 40.443377, -79.965757 40.442819, -79.96517900000001 40.443255, -79.964179 40.443985, -79.963252 40.444663, -79.962881 40.44326, -79.959333 40.443555, -79.957438 40.442514, -79.95781599999999 40.442238, -79.959169 40.441266, -79.960275 40.44046, -79.96177 40.439354, -79.96207099999999 40.439131, -79.96319200000001 40.438288, -79.96533599999999 40.437663, -79.96620900000001 40.436616, -79.96699099999999 40.436453, -79.968796 40.436452, -79.97264300000001 40.437695, -79.972825 40.437753, -79.974428 40.438026, -79.975887 40.438147, -79.97754500000001 40.438229)))"
6,1400000US42003040400,3.8,040400,"MULTIPOLYGON (((-79.952724 40.448358, -79.951846 40.448988, -79.950738 40.4498, -79.948751 40.450392, -79.94769100000001 40.447976, -79.947361 40.447106, -79.946584 40.444911, -79.94690300000001 40.444514, -79.950366 40.445158, -79.950588 40.4468, -79.951911 40.446476, -79.952724 40.448358)))"
7,1400000US42003040500,3.7,040500,"MULTIPOLYGON (((-79.96177 40.439354, -79.960275 40.44046, -79.959169 40.441266, -79.95781599999999 40.442238, -79.957438 40.442514, -79.95643800000001 40.441949, -79.955389 40.442684, -79.95354500000001 40.443175, -79.952881 40.441913, -79.95167499999999 40.442408, -79.950343 40.441956, -79.94924399999999 40.441345, -79.95014399999999 40.440408, -79.950563 40.439279, -79.95233500000001 40.439672, -79.953929 40.438118, -79.954532 40.437525, -79.95496900000001 40.4371, -79.95549699999999 40.436586, -79.956176 40.43595, -79.956408 40.435124, -79.95817099999999 40.435819, -79.96124 40.438465, -79.96207099999999 40.439131, -79.96177 40.439354)))"
8,1400000US42003040600,3,040600,"MULTIPOLYGON (((-79.956176 40.43595, -79.95549699999999 40.436586, -79.95496900000001 40.4371, -79.954532 40.437525, -79.953929 40.438118, -79.95233500000001 40.439672, -79.950563 40.439279, -79.95014399999999 40.440408, -79.94924399999999 40.441345, -79.948953 40.44118, -79.949788 40.440008, -79.94958699999999 40.436342, -79.94986 40.43443, -79.952213 40.434245, -79.953191 40.434383, -79.954729 40.434612, -79.955578 40.434863, -79.955938 40.434967, -79.956408 40.435124, -79.956176 40.43595)))"
9,1400000US42003040900,19.1,040900,"MULTIPOLYGON (((-79.972874 40.436527, -79.97275500000001 40.437122, -79.97264300000001 40.437695, -79.968796 40.436452, -79.96699099999999 40.436453, -79.96620900000001 40.436616, -79.96533599999999 40.437663, -79.96319200000001 40.438288, -79.96207099999999 40.439131, -79.96124 40.438465, -79.95817099999999 40.435819, -79.956408 40.435124, -79.955938 40.434967, -79.955578 40.434863, -79.954729 40.434612, -79.953191 40.434383, -79.952213 40.434245, -79.94986 40.43443, -79.949884 40.433609, -79.94965999999999 40.429301, -79.949658 40.429191, -79.95043099999999 40.427598, -79.952371 40.427393, -79.954571 40.42791, -79.956272 40.429113, -79.95692699999999 40.429835, -79.959092 40.431771, -79.96265699999999 40.433401, -79.966632 40.435127, -79.968672 40.435759, -79.972916 40.436322, -79.972874 40.436527)))"
10,1400000US42003050100,90.8,050100,"MULTIPOLYGON (((-79.982429 40.446493, -79.980514 40.4473, -79.979106 40.447898, -79.976662 40.448936, -79.97555 40.449409, -79.973822 40.450143, -79.972998 40.450493, -79.972523 40.44962, -79.96892099999999 40.451149, -79.96945700000001 40.451997, -79.96666500000001 40.453175, -79.96492499999999 40.452883, -79.964377 40.452271, -79.965372 40.450155, -79.96487 40.448777, -79.96531 40.448613, -79.969054 40.446039, -79.97036300000001 40.445577, -79.970873 40.445405, -79.971864 40.444993, -79.973393 40.444364, -79.974541 40.443868, -79.97504499999999 40.44366, -79.975616 40.444438, -79.976748 40.443953, -79.977812 40.443499, -79.97851199999999 40.443199, -79.97967199999999 40.442698, -79.98034199999999 40.443632, -79.98079 40.444235, -79.981841 40.445685, -79.982429 40.446493)))"
11,1400000US42003050600,77.6,050600,"MULTIPOLYGON (((-79.966005 40.455191, -79.96315199999999 40.456258, -79.96042 40.45698, -79.958853 40.457975, -79.95782800000001 40.458489, -79.95722000000001 40.458654, -79.95617900000001 40.458302, -79.95407 40.453172, -79.954904 40.450976, -79.95771000000001 40.448972, -79.957812 40.448913, -79.958324 40.448544, -79.958474 40.448449, -79.95925 40.448314, -79.961569 40.448736, -79.96235 40.448882, -79.96487 40.448777, -79.965372 40.450155, -79.964377 40.452271, -79.96492499999999 40.452883, -79.965676 40.453665, -79.965946 40.454818, -79.966005 40.455191)))"
12,1400000US42003050900,92.7,050900,"MULTIPOLYGON (((-79.98389899999999 40.44852, -79.980942 40.449915, -79.979146 40.450402, -79.977676 40.45021, -79.97685 40.450965, -79.973946 40.452705, -79.97366700000001 40.452843, -79.96830199999999 40.454997, -79.96601 40.45566, -79.966005 40.455191, -79.965946 40.454818, -79.965676 40.453665, -79.96492499999999 40.452883, -79.96666500000001 40.453175, -79.96945700000001 40.451997, -79.96892099999999 40.451149, -79.972523 40.44962, -79.972998 40.450493, -79.973822 40.450143, -79.97555 40.449409, -79.976662 40.448936, -79.979106 40.447898, -79.980514 40.4473, -79.982429 40.446493, -79.98365200000001 40.447642, -79.98389899999999 40.44852)))"
13,1400000US42003051000,50.3,051000,"MULTIPOLYGON (((-79.974541 40.443868, -79.973393 40.444364, -79.971864 40.444993, -79.970873 40.445405, -79.97036300000001 40.445577, -79.969054 40.446039, -79.96531 40.448613, -79.96487 40.448777, -79.96235 40.448882, -79.961569 40.448736, -79.95925 40.448314, -79.958474 40.448449, -79.959817 40.447396, -79.960888 40.445473, -79.963252 40.444663, -79.964179 40.443985, -79.96517900000001 40.443255, -79.965757 40.442819, -79.96606300000001 40.443377, -79.967004 40.443136, -79.96801600000001 40.442903, -79.968333 40.441826, -79.968174 40.441517, -79.967946 40.441147, -79.967618 40.440023, -79.96862299999999 40.438907, -79.96871299999999 40.438771, -79.97190399999999 40.439752, -79.972433 40.44037, -79.973209 40.44012, -79.97394799999999 40.440854, -79.974498 40.442898, -79.97504499999999 40.44366, -79.974541 40.443868)))"
14,1400000US42003051100,67,051100,"MULTIPOLYGON (((-79.97967199999999 40.442698, -79.97851199999999 40.443199, -79.977812 40.443499, -79.976748 40.443953, -79.975616 40.444438, -79.97504499999999 40.44366, -79.974498 40.442898, -79.97394799999999 40.440854, -79.973209 40.44012, -79.97302000000001 40.43978, -79.973406 40.439984, -79.975373 40.439202, -79.977636 40.439383, -79.977878 40.439348, -79.978669 40.440312, -79.978351 40.440666, -79.978655 40.440843, -79.97895800000001 40.441232, -79.97899700000001 40.4416, -79.97967199999999 40.442698)))"
15,1400000US42003060300,12.9,060300,"MULTIPOLYGON (((-79.97156 40.468988, -79.970767 40.470658, -79.97003599999999 40.471108, -79.96868499999999 40.47275, -79.963846 40.469936, -79.96229 40.468707, -79.960903 40.467584, -79.95922 40.466235, -79.957961 40.465182, -79.95717 40.462383, -79.95645500000001 40.462534, -79.954572 40.462807, -79.95363500000001 40.462757, -79.954185 40.462184, -79.95593599999999 40.460303, -79.95693300000001 40.460727, -79.957695 40.460843, -79.96034899999999 40.460466, -79.96607899999999 40.459437, -79.96715500000001 40.460552, -79.968074 40.461012, -79.97390799999999 40.46587, -79.97156 40.468988)))"
16,1400000US42003060500,4.9,060500,"MULTIPOLYGON (((-79.97353200000001 40.457274, -79.968074 40.461012, -79.96715500000001 40.460552, -79.96607899999999 40.459437, -79.96034899999999 40.460466, -79.957695 40.460843, -79.95693300000001 40.460727, -79.95593599999999 40.460303, -79.957202 40.458821, -79.95722000000001 40.458654, -79.95782800000001 40.458489, -79.958853 40.457975, -79.96042 40.45698, -79.96315199999999 40.456258, -79.966005 40.455191, -79.96601 40.45566, -79.96830199999999 40.454997, -79.97366700000001 40.452843, -79.974182 40.453376, -79.97357 40.454557, -79.973101 40.455778, -79.974947 40.456294, -79.97353200000001 40.457274)))"
17,1400000US42003070300,3.4,070300,"MULTIPOLYGON (((-79.94094800000001 40.451316, -79.936727 40.452745, -79.935964 40.453107, -79.932568 40.454746, -79.931776 40.453413, -79.931372 40.452741, -79.93097899999999 40.452062, -79.92964600000001 40.449827, -79.930981 40.449409, -79.93420500000001 40.4484, -79.935802 40.447911, -79.937291 40.447792, -79.938838 40.447686, -79.94094800000001 40.451316)))"
18,1400000US42003070500,1.9,070500,"MULTIPOLYGON (((-79.934057 40.457262, -79.92898 40.458758, -79.925043 40.459954, -79.925104 40.458992, -79.92519799999999 40.457378, -79.925209 40.457124, -79.925325 40.454991, -79.925341 40.454161, -79.925653 40.454015, -79.927109 40.453429, -79.928821 40.452752, -79.93097899999999 40.452062, -79.931372 40.452741, -79.931776 40.453413, -79.932568 40.454746, -79.933407 40.456162, -79.934057 40.457262)))"
19,1400000US42003070600,5.8,070600,"MULTIPOLYGON (((-79.93097899999999 40.452062, -79.928821 40.452752, -79.927109 40.453429, -79.925653 40.454015, -79.925341 40.454161, -79.925325 40.454991, -79.925209 40.457124, -79.92519799999999 40.457378, -79.922454 40.456791, -79.922546 40.455862, -79.921024 40.453398, -79.92071199999999 40.452894, -79.92207500000001 40.452686, -79.92397099999999 40.451932, -79.925787 40.451201, -79.927508 40.450514, -79.928437 40.450212, -79.92964600000001 40.449827, -79.93097899999999 40.452062)))"
20,1400000US42003070800,3.6,070800,"MULTIPOLYGON (((-79.925104 40.458992, -79.925043 40.459954, -79.922723 40.460656, -79.920783 40.459742, -79.91933400000001 40.458802, -79.918069 40.457929, -79.917412 40.457481, -79.912424 40.454037, -79.913304 40.453895, -79.91535399999999 40.453614, -79.92071199999999 40.452894, -79.921024 40.453398, -79.922546 40.455862, -79.922454 40.456791, -79.92519799999999 40.457378, -79.925104 40.458992)))"
21,1400000US42003070900,7,070900,"MULTIPOLYGON (((-79.94968799999999 40.452585, -79.947346 40.453291, -79.94638999999999 40.453579, -79.94444900000001 40.45416, -79.943082 40.454566, -79.944272 40.45525, -79.941985 40.455939, -79.94149299999999 40.45504, -79.938591 40.45591, -79.93649000000001 40.456565, -79.934057 40.457262, -79.933407 40.456162, -79.932568 40.454746, -79.935964 40.453107, -79.936727 40.452745, -79.94094800000001 40.451316, -79.938838 40.447686, -79.941749 40.447471, -79.942452 40.447414, -79.947361 40.447106, -79.94769100000001 40.447976, -79.948751 40.450392, -79.94968799999999 40.452585)))"
22,1400000US42003080200,5.4,080200,"MULTIPOLYGON (((-79.95593599999999 40.460303, -79.954185 40.462184, -79.95363500000001 40.462757, -79.952782 40.463611, -79.951812 40.463146, -79.950884 40.462636, -79.949866 40.462087, -79.94848 40.461349, -79.947093 40.460615, -79.94823599999999 40.458457, -79.947391 40.458011, -79.947515 40.456873, -79.950373 40.457205, -79.95111900000001 40.457298, -79.95148 40.457344, -79.9533 40.457766, -79.954566 40.458843, -79.95593599999999 40.460303)))"
23,1400000US42003080400,7.9,080400,"MULTIPOLYGON (((-79.95148 40.457344, -79.95111900000001 40.457298, -79.950373 40.457205, -79.947515 40.456873, -79.947391 40.458011, -79.94823599999999 40.458457, -79.947093 40.460615, -79.94596300000001 40.460004, -79.943729 40.458812, -79.942177 40.457983, -79.93964 40.456627, -79.938591 40.45591, -79.94149299999999 40.45504, -79.941985 40.455939, -79.944272 40.45525, -79.943082 40.454566, -79.94444900000001 40.45416, -79.94638999999999 40.453579, -79.947346 40.453291, -79.94968799999999 40.452585, -79.949775 40.453114, -79.95121 40.456457, -79.95148 40.457344)))"
24,1400000US42003080600,1.3,080600,"MULTIPOLYGON (((-79.943535 40.460022, -79.943218 40.462342, -79.941596 40.462204, -79.941271 40.464153, -79.93802700000001 40.463544, -79.937224 40.463373, -79.937287 40.463269, -79.936074 40.462976, -79.936302 40.461763, -79.936736 40.459446, -79.93705799999999 40.457675, -79.93649000000001 40.456565, -79.938591 40.45591, -79.93964 40.456627, -79.942177 40.457983, -79.943729 40.458812, -79.943535 40.460022)))"
25,1400000US42003080700,13.1,080700,"MULTIPOLYGON (((-79.936736 40.459446, -79.936302 40.461763, -79.936074 40.462976, -79.935108 40.464734, -79.934518 40.464772, -79.932489 40.464125, -79.930673 40.463493, -79.931617 40.461959, -79.932399 40.460678, -79.933819 40.458351, -79.934256 40.457577, -79.934057 40.457262, -79.93649000000001 40.456565, -79.93705799999999 40.457675, -79.936736 40.459446)))"
26,1400000US42003080900,6.3,080900,"MULTIPOLYGON (((-79.949861 40.462183, -79.94806800000001 40.465698, -79.94644599999999 40.465466, -79.94523100000001 40.465297, -79.942858 40.464968, -79.941135 40.464745, -79.93938199999999 40.464533, -79.936441 40.464676, -79.935108 40.464734, -79.936074 40.462976, -79.937287 40.463269, -79.937224 40.463373, -79.93802700000001 40.463544, -79.941271 40.464153, -79.941596 40.462204, -79.943218 40.462342, -79.943535 40.460022, -79.943729 40.458812, -79.94596300000001 40.460004, -79.947093 40.460615, -79.94848 40.461349, -79.949866 40.462087, -79.949861 40.462183)))"
27,1400000US42003090100,9.8,090100,"MULTIPOLYGON (((-79.967371 40.474553, -79.966768 40.475164, -79.965716 40.476502, -79.96475599999999 40.477917, -79.96317500000001 40.479766, -79.96069 40.482055, -79.955699 40.478347, -79.95761899999999 40.476127, -79.958046 40.473859, -79.958322 40.47348, -79.958808 40.472818, -79.95929099999999 40.472148, -79.959795 40.471461, -79.960339 40.470633, -79.96091 40.469796, -79.96229 40.468707, -79.963846 40.469936, -79.96868499999999 40.47275, -79.967371 40.474553)))"
28,1400000US42003090200,2.5,090200,"MULTIPOLYGON (((-79.96091 40.469796, -79.960339 40.470633, -79.959795 40.471461, -79.95929099999999 40.472148, -79.958808 40.472818, -79.958322 40.47348, -79.958046 40.473859, -79.95415300000001 40.471294, -79.954786 40.46888, -79.953866 40.468348, -79.95267800000001 40.46777, -79.951802 40.467364, -79.95193 40.46617, -79.952307 40.466142, -79.954351 40.465798, -79.955184 40.465652, -79.957961 40.465182, -79.95922 40.466235, -79.960903 40.467584, -79.96229 40.468707, -79.96091 40.469796)))"
29,1400000US42003090300,9.4,090300,"MULTIPOLYGON (((-79.957961 40.465182, -79.955184 40.465652, -79.954351 40.465798, -79.952307 40.466142, -79.95193 40.46617, -79.948099 40.465702, -79.94806800000001 40.465698, -79.949861 40.462183, -79.949866 40.462087, -79.950884 40.462636, -79.951812 40.463146, -79.952782 40.463611, -79.95363500000001 40.462757, -79.954572 40.462807, -79.95645500000001 40.462534, -79.95717 40.462383, -79.957961 40.465182)))"
30,1400000US42003100500,67.2,100500,"MULTIPOLYGON (((-79.943079 40.479954, -79.940601 40.482014, -79.938984 40.48165, -79.937742 40.48135, -79.934777 40.480588, -79.93443600000001 40.48048, -79.93320799999999 40.479855, -79.931916 40.475217, -79.93146299999999 40.473909, -79.931702 40.472271, -79.93171599999999 40.472041, -79.932787 40.470637, -79.932906 40.470678, -79.93457100000001 40.472166, -79.935453 40.472562, -79.93652899999999 40.474268, -79.93820700000001 40.474095, -79.942716 40.477479, -79.94441399999999 40.478645, -79.943079 40.479954)))"
31,1400000US42003101100,17,101100,"MULTIPOLYGON (((-79.96069 40.482055, -79.95535099999999 40.485907, -79.95126999999999 40.487586, -79.94978 40.488095, -79.940911 40.490486, -79.938355 40.490983, -79.938012 40.491067, -79.937156 40.488429, -79.946298 40.485158, -79.94567600000001 40.484617, -79.944519 40.48359, -79.94316999999999 40.48318, -79.94524 40.483157, -79.945024 40.481849, -79.947546 40.480077, -79.94665999999999 40.47941, -79.947693 40.478639, -79.946973 40.478102, -79.94886700000001 40.478346, -79.948944 40.478173, -79.949207 40.478161, -79.951311 40.477456, -79.953981 40.4773, -79.954481 40.477535, -79.95486099999999 40.477795, -79.955699 40.478347, -79.96069 40.482055)))"
