id,Facility Name,Latitude,Longitude,Sector,Carcinogenic Emissions
1632WMSTBL24TWM,AM STABILIZERS CORP,41.41127,-79.7968,Chemicals,NO
1632WMSTBL24TWM,AM STABILIZERS CORP,41.41127,-79.7968,Chemicals,NO
1632WMSTBL24TWM,AM STABILIZERS CORP,41.41127,-79.7968,Chemicals,NO
15857CNTCT229WC,CONTACT TECHNOLOGIES INC,41.45429,-78.54081,Electrical Equipment,NO
16501RPLTN656W1,ERIE PLATING CO,42.11782,-80.09675,Fabricated Metals,NO
19320CGSMC1245M,CIGAS MACHINE SHOP INC,40.01903,-75.81837,Fabricated Metals,NO
19320CGSMC1245M,CIGAS MACHINE SHOP INC,40.01903,-75.81837,Fabricated Metals,NO
18201NRGBRVALMO,JOHNS MANVILLE,40.964167,-76.024444,Plastics and Rubber,NO
17405DNTSP570WC,DENTSPLY SIRONA,39.953471,-76.739856,Miscellaneous Manufacturing,NO
1660WLTNTRBURNS,ALTOONA TERMINALS - DE LLC/ALTOONA TERMINAL,40.45739,-78.431264,Petroleum Bulk Terminals,NO
1660WLTNTRBURNS,ALTOONA TERMINALS - DE LLC/ALTOONA TERMINAL,40.45739,-78.431264,Petroleum Bulk Terminals,NO
1660WLTNTRBURNS,ALTOONA TERMINALS - DE LLC/ALTOONA TERMINAL,40.45739,-78.431264,Petroleum Bulk Terminals,NO
1660WLTNTRBURNS,ALTOONA TERMINALS - DE LLC/ALTOONA TERMINAL,40.45739,-78.431264,Petroleum Bulk Terminals,NO
1660WLTNTRBURNS,ALTOONA TERMINALS - DE LLC/ALTOONA TERMINAL,40.45739,-78.431264,Petroleum Bulk Terminals,NO
1660WLTNTRBURNS,ALTOONA TERMINALS - DE LLC/ALTOONA TERMINAL,40.45739,-78.431264,Petroleum Bulk Terminals,NO
1660WLTNTRBURNS,ALTOONA TERMINALS - DE LLC/ALTOONA TERMINAL,40.45739,-78.431264,Petroleum Bulk Terminals,NO
17201KNSFD521EG,KNOUSE FOODS COOP INC CHAMBERSBURG PLANT,39.94037,-77.65185,Food,NO
16509SNPTT8355H,PARKER AUTOCLAVE ENGINEERS / INSTRUMENT PRODUCTS DIV,42.03794,-80.07958,Fabricated Metals,NO
18015LQDCR145SH,PRAXAIR DISTRIBUTION INC,40.617696,-75.335358,Chemical Wholesalers,NO
1686WPMGPN187EN,PMG PENNSYLVANIA,40.8927,-78.19187,Fabricated Metals,NO
1673WLLGHN11LIN,ALLEGHENY BRADFORD CORP,41.869381,-78.662318,Fabricated Metals,NO
1934WDSMBM735PE,DSM BIOMEDICAL,40.06722,-75.68599,Miscellaneous Manufacturing,NO
1701WMSTDR342SI,AMSTED RAIL CO INC.,40.22667,-76.93672,Transportation Equipment,NO
15020SNCCHBUNOL,UNIVAR SOLUTIONS USA INC. - BUNOLA BRANCH,40.236815,-79.96079,Chemical Wholesalers,NO
15020SNCCHBUNOL,UNIVAR SOLUTIONS USA INC. - BUNOLA BRANCH,40.236815,-79.96079,Chemical Wholesalers,NO
15020SNCCHBUNOL,UNIVAR SOLUTIONS USA INC. - BUNOLA BRANCH,40.236815,-79.96079,Chemical Wholesalers,NO
15020SNCCHBUNOL,UNIVAR SOLUTIONS USA INC. - BUNOLA BRANCH,40.236815,-79.96079,Chemical Wholesalers,NO
15020SNCCHBUNOL,UNIVAR SOLUTIONS USA INC. - BUNOLA BRANCH,40.236815,-79.96079,Chemical Wholesalers,NO
15020SNCCHBUNOL,UNIVAR SOLUTIONS USA INC. - BUNOLA BRANCH,40.236815,-79.96079,Chemical Wholesalers,NO
15020SNCCHBUNOL,UNIVAR SOLUTIONS USA INC. - BUNOLA BRANCH,40.236815,-79.96079,Chemical Wholesalers,NO
15020SNCCHBUNOL,UNIVAR SOLUTIONS USA INC. - BUNOLA BRANCH,40.236815,-79.96079,Chemical Wholesalers,NO
16121DFRCF15ROE,NLMK PENNSYLVANIA LLC,41.21192,-80.506982,Primary Metals,NO
16121DFRCF15ROE,NLMK PENNSYLVANIA LLC,41.21192,-80.506982,Primary Metals,NO
16121DFRCF15ROE,NLMK PENNSYLVANIA LLC,41.21192,-80.506982,Primary Metals,NO
16121DFRCF15ROE,NLMK PENNSYLVANIA LLC,41.21192,-80.506982,Primary Metals,NO
18064CPLYCEASTO,ESSROC CEMENT CORP,40.72966,-75.30078,Nonmetallic Mineral Product,NO
18064CPLYCEASTO,ESSROC CEMENT CORP,40.72966,-75.30078,Nonmetallic Mineral Product,NO
18064CPLYCEASTO,ESSROC CEMENT CORP,40.72966,-75.30078,Nonmetallic Mineral Product,NO
18064CPLYCEASTO,ESSROC CEMENT CORP,40.72966,-75.30078,Nonmetallic Mineral Product,NO
18064CPLYCEASTO,ESSROC CEMENT CORP,40.72966,-75.30078,Nonmetallic Mineral Product,NO
18936TGRNT161CR,SONOCO PROTECTIVE SOLUTIONS INC,40.22631,-75.2234,Plastics and Rubber,NO
17601LNCST207PI,LANCASTER LEAF TOBACCO CO. OF PA INC.,40.05163,-76.26296,Tobacco,NO
19486CLRCN415MO,COLORCON,40.206329,-75.296104,Chemicals,NO
19486CLRCN415MO,COLORCON,40.206329,-75.296104,Chemicals,NO
19486CLRCN415MO,COLORCON,40.206329,-75.296104,Chemicals,NO
16117LLWDCCOMME,ELLWOOD CITY FORGE CORP,40.86043,-80.29096,Fabricated Metals,NO
16117LLWDCCOMME,ELLWOOD CITY FORGE CORP,40.86043,-80.29096,Fabricated Metals,NO
15146PPGND440CO,PPG INDUSTRIES INC,40.442122,-79.732379,Chemicals,NO
15146PPGND440CO,PPG INDUSTRIES INC,40.442122,-79.732379,Chemicals,NO
18951LDCST5EPUM,OLDCASTLE LAWN & GARDEN,40.46402,-75.33649,Wood Products,NO
18951LDCST5EPUM,OLDCASTLE LAWN & GARDEN,40.46402,-75.33649,Wood Products,NO
17331PNNMR500BR,PENN-MAR CASTINGS LLC,39.806015,-76.980621,Primary Metals,NO
15120DMSCS1001E,BRISTOL METALS LLC - MUNHALL PLANT,40.409054,-79.891678,Primary Metals,NO
15120DMSCS1001E,BRISTOL METALS LLC - MUNHALL PLANT,40.409054,-79.891678,Primary Metals,NO
15120DMSCS1001E,BRISTOL METALS LLC - MUNHALL PLANT,40.409054,-79.891678,Primary Metals,NO
15120DMSCS1001E,BRISTOL METALS LLC - MUNHALL PLANT,40.409054,-79.891678,Primary Metals,NO
1907WTHBNGSTEWA,THE BOEING CO DEFENSE SPACE & SECURITY ROTORCRAFT PR,39.865861,-75.323113,Transportation Equipment,NO
16701ZPPMNCONGR,ZIPPO MANUFACTURING CO,41.940589,-78.650717,Fabricated Metals,NO
16701ZPPMNCONGR,ZIPPO MANUFACTURING CO,41.940589,-78.650717,Fabricated Metals,NO
16323THCNRRTE8N,CONAIR GROUP INC,41.4013,-79.81145,Machinery,NO
17941PPTTHSPAIN,PAPETTI&apos;S HYGRADE EGG PRODUCTS INC,40.6598,-76.69674,Food,NO
15062MNSSN345DO,CLEVELAND-CLIFFS MONESSEN COKE LLC,40.1632,-79.8861,Petroleum,NO
15062MNSSN345DO,CLEVELAND-CLIFFS MONESSEN COKE LLC,40.1632,-79.8861,Petroleum,NO
18018PLLMT1001F,APOLLO METALS LTD,40.62902,-75.40308,Fabricated Metals,NO
15062MNSSN345DO,CLEVELAND-CLIFFS MONESSEN COKE LLC,40.1632,-79.8861,Petroleum,NO
18018PLLMT1001F,APOLLO METALS LTD,40.62902,-75.40308,Fabricated Metals,NO
15062MNSSN345DO,CLEVELAND-CLIFFS MONESSEN COKE LLC,40.1632,-79.8861,Petroleum,NO
15062MNSSN345DO,CLEVELAND-CLIFFS MONESSEN COKE LLC,40.1632,-79.8861,Petroleum,NO
18018PLLMT1001F,APOLLO METALS LTD,40.62902,-75.40308,Fabricated Metals,NO
15062MNSSN345DO,CLEVELAND-CLIFFS MONESSEN COKE LLC,40.1632,-79.8861,Petroleum,NO
15062MNSSN345DO,CLEVELAND-CLIFFS MONESSEN COKE LLC,40.1632,-79.8861,Petroleum,NO
